NETGEAR,WIFI 1,Basabeso,Ehab,basant,room
-76,-56,-70,-54,-56,1
-78,-54,-67,-66,-54,1
-69,-55,-68,-68,-55,1
-74,-68,-66,-66,-68,1
-78,-55,-67,-66,-55,1
-71,-61,-68,-64,-61,1
0,-55,-67,-60,-55,1
-70,-64,0,-66,-64,1
-65,-54,-63,-63,-54,1
-68,-54,-64,-66,-54,1
-74,-67,-71,-69,-67,1
0,-53,-67,-67,-53,1
-71,-54,-76,-68,-54,1
-76,-53,-65,-68,-53,1
-67,-58,-65,-67,-58,1
-70,-69,0,-71,-69,1
-70,-59,0,-69,-59,1
-68,-61,-63,-67,-61,1
0,-56,0,-69,-56,1
-65,-61,-62,-68,-61,1
-60,-56,-65,-68,-56,1
-66,-60,0,-62,-60,1
-68,-62,-63,-62,-62,1
-69,-61,-67,-61,-61,1
-68,-66,-62,-72,-66,1
-63,-67,-61,-67,-67,1
-66,-56,-61,-68,-56,1
-67,-56,0,-65,-56,1
-73,-58,-64,-73,-58,1
-68,-68,-62,-66,-68,1
-68,-62,0,-66,-62,1
-77,-62,-70,-64,-62,1
-66,-67,-68,-59,-67,1
-68,-60,-69,-65,-60,1
-73,-61,-66,-62,-61,1
-65,-64,-65,-59,-64,1
-67,-62,0,-63,-62,1
-77,-65,-65,-57,-65,1
-66,-70,-59,-53,-70,1
-78,-61,0,-67,-61,1
-71,-56,-58,-59,-56,1
-72,-60,-65,-63,-60,1
-66,-60,-59,-62,-60,1
-68,-69,-61,-66,-69,1
-71,-56,-65,-65,-56,1
-64,-65,-64,-59,-65,1
-68,-57,-63,-66,-57,1
-67,-61,-67,-57,-61,1
-74,-58,-63,-60,-58,1
-70,-62,-59,-58,-62,1
-67,-56,-64,-52,-56,1
-74,-59,-64,-56,-59,1
-64,-62,-74,-63,-62,1
-69,-54,-70,-62,-54,1
-64,-59,-75,-65,-59,1
-65,-63,-67,-63,-63,1
-73,-62,-69,-65,-62,1
-67,-58,-62,-66,-58,1
-64,-57,-70,-67,-57,1
0,-62,-74,-58,-62,1
-69,-63,-62,-64,-63,1
-70,-62,-64,-63,-62,1
-68,-62,-63,-63,-62,1
-67,-63,-61,-64,-63,1
-73,-62,-61,-59,-62,1
-73,-68,-63,-66,-68,1
0,-62,-69,-65,-62,1
-73,-54,-72,-69,-54,1
-75,-60,-68,-68,-60,1
-73,-67,-71,-67,-67,1
-75,-58,-65,-67,-58,1
-70,-52,0,-66,-52,1
-78,-63,-70,-69,-63,1
-71,-59,-68,-71,-59,1
-76,-67,-75,-66,-67,1
-74,-62,-66,-59,-62,1
-77,-61,-66,-63,-61,1
0,-64,-65,-61,-64,1
-74,-70,-67,-60,-70,1
-76,-61,-78,-62,-61,1
-74,-59,-67,-61,-59,1
-68,-52,-68,-65,-52,1
-80,-55,-67,-63,-55,1
-71,-61,-62,-63,-61,1
-70,-57,0,-65,-57,1
-67,-60,-59,-62,-60,1
-68,-59,-58,-64,-59,1
0,-57,-61,-67,-57,1
-73,-59,-65,-53,-59,1
0,-58,-54,-56,-58,1
-74,-65,0,-56,-65,1
-71,-54,-56,-52,-54,1
-64,-53,-58,-64,-53,1
-73,-61,0,-71,-61,1
-68,-66,-60,-61,-66,1
0,-64,-58,-61,-64,1
-68,-64,-60,-63,-64,1
-69,-62,-71,-74,-62,1
-76,-66,-67,-70,-66,1
-62,-63,-65,-67,-63,1
-72,-60,-66,-64,-60,1
-72,-65,-62,-67,-65,1
-65,-67,0,-65,-67,1
-63,-54,-66,-63,-54,1
0,-68,-69,-71,-68,1
-67,-64,0,-67,-64,1
-73,-59,-58,-66,-59,1
-74,-66,-63,-67,-66,1
-72,-55,-62,-69,-55,1
-73,-63,-71,-69,-63,1
-69,-60,-62,-66,-60,1
-71,-61,-66,-70,-61,1
-73,-56,-61,-70,-56,1
-68,-53,-61,-66,-53,1
-70,-55,0,-68,-55,1
-72,-57,-67,-74,-57,1
-75,-58,-62,-71,-58,1
0,-63,-64,-68,-63,1
-73,-61,-63,-67,-61,1
-73,-53,-66,-68,-53,1
-72,-57,-68,-67,-57,1
-70,-56,-77,-66,-56,1
-74,-55,-63,-73,-55,1
-58,-52,-71,-66,-52,1
-61,-39,-61,-61,-39,1
-62,-50,-58,-61,-50,1
-64,-73,0,-64,-73,1
-65,-61,-66,-72,-61,1
-62,-50,-59,-66,-50,1
-74,-57,0,-71,-57,1
-69,-62,-78,-69,-62,1
0,-59,-63,-66,-59,1
-68,-62,-63,-60,-62,1
-74,-65,-65,-57,-65,1
-75,-64,-64,-68,-64,1
-71,-61,-63,-76,-61,1
-74,-68,-72,-61,-68,1
0,-60,-67,-69,-60,1
-64,-56,-63,-63,-56,1
-66,-59,-64,-75,-59,1
0,-69,0,-66,-69,1
-77,-64,-65,-64,-64,1
-67,-65,-72,-65,-65,1
-70,-69,-67,-66,-69,1
-68,-68,-67,-69,-68,1
-71,-69,-64,-69,-69,1
-73,-67,-65,-66,-67,1
-85,-70,-67,-64,-70,1
-80,-61,-68,-62,-61,1
-81,-61,-69,-66,-61,1
-76,-63,-66,-63,-63,1
-76,-65,-63,-71,-65,1
-74,-67,-64,-67,-67,1
-72,-62,-64,-70,-62,1
-76,-62,-67,-63,-62,1
-74,-66,-66,-68,-66,1
-76,-68,-66,-71,-68,1
-76,-68,-70,-64,-68,1
-61,-51,-63,-67,-51,1
-68,-53,-66,-60,-53,1
-79,-58,-69,-66,-58,1
-64,-56,-62,-62,-56,1
-76,-54,-64,-65,-54,1
-69,-53,-61,-67,-53,1
-67,-53,-63,-64,-53,1
-68,-63,-64,-66,-63,1
-63,-58,-71,-61,-58,1
-65,-62,-66,-61,-62,1
-70,-59,-70,-66,-59,1
-75,-54,-64,-60,-54,1
0,-44,-69,-63,-44,1
-62,-40,-64,-67,-40,1
-63,-38,-68,-69,-38,1
-68,-34,-73,-75,-34,1
-65,-33,-71,-68,-33,1
-65,-30,-65,-67,-30,1
-67,-34,-70,-69,-34,1
-66,-34,-77,-79,-34,1
-65,-35,-71,-66,-35,1
-64,-30,-71,-74,-30,1
-66,-36,-65,-70,-36,1
-74,-53,-63,-70,-53,1
-77,-57,-75,-68,-57,1
-72,-51,-65,-63,-51,1
-75,-53,-69,-82,-53,1
-71,-67,-65,-72,-67,1
-68,-63,-69,-67,-63,1
-76,-53,-64,-69,-53,1
-78,-55,-70,-64,-55,1
-76,-55,-66,-67,-55,1
-71,-57,-67,-67,-57,1
-68,-59,-71,-62,-59,1
-72,-52,-66,-69,-52,1
-71,-57,-62,-72,-57,1
-74,-62,-70,-63,-62,1
-67,-62,-69,-65,-62,1
-68,-63,-75,-68,-63,1
-71,-67,-68,-65,-67,1
-74,-60,-61,-61,-60,1
-71,-53,-71,-67,-53,1
-64,-52,-69,-71,-52,1
-64,-54,-65,-62,-54,1
-67,-54,-66,-63,-54,1
-69,-51,-72,-63,-51,1
-65,-52,-70,-71,-52,1
-70,-50,-70,-74,-50,1
0,-58,-69,-64,-58,1
-72,-49,-69,-69,-49,1
-69,-59,-69,-69,-59,1
-60,-55,-70,-68,-55,1
-65,-44,-69,-64,-44,1
-67,-40,-64,-71,-40,1
-70,-48,-68,-71,-48,1
-69,-58,-65,-75,-58,1
-67,-53,-65,-72,-53,1
-67,-48,-64,-68,-48,1
-70,-44,-62,-74,-44,1
-81,-59,-62,-66,-59,1
-71,-53,-71,-66,-53,1
-71,-50,-67,-68,-50,1
-74,-52,-62,-68,-52,1
-65,-39,-69,-65,-39,1
-68,-43,-67,-66,-43,1
0,-35,-70,-72,-35,1
-71,-57,-70,-73,-57,1
-76,-58,-71,-61,-58,1
0,-53,-70,-66,-53,1
-74,-58,-64,-72,-58,1
-72,-59,-65,-66,-59,1
-65,-61,-63,-65,-61,1
-63,-59,-73,-74,-59,1
-76,-53,-68,-70,-53,1
-84,-50,-75,-70,-50,1
-67,-62,-67,-70,-62,1
-85,-44,-68,-73,-44,1
-71,-56,-66,-65,-56,1
-74,-59,-67,-70,-59,1
-72,-54,-68,-76,-54,1
-69,-58,-64,-64,-58,1
-79,-57,-65,-67,-57,1
-70,-59,-64,-63,-59,1
-76,-63,-63,-66,-63,1
-79,-59,-62,-72,-59,1
-74,-61,-65,-67,-61,1
-73,-67,-62,-68,-67,1
-74,-55,-72,-63,-55,1
-77,-55,-62,-69,-55,1
-76,-59,-70,-71,-59,1
-82,-61,-70,-74,-61,1
-79,-58,-65,-66,-58,1
-71,-54,-80,-66,-54,1
-67,-58,-74,-64,-58,1
-72,-57,-64,-61,-57,1
-69,-58,-59,-70,-58,1
-80,-53,-65,-64,-53,1
-78,-63,-63,-61,-63,1
-68,-55,-64,-61,-55,1
-71,-60,-66,-66,-60,1
-74,-64,-72,-71,-64,1
-68,-64,-74,-68,-64,1
-66,-65,-65,-72,-65,1
-74,-56,-71,-69,-56,1
-80,-61,-62,-67,-61,1
-68,-55,-68,-68,-55,1
-66,-59,-75,-70,-59,1
-68,-63,-67,-66,-63,1
-67,-61,-70,-59,-61,1
-65,-58,-70,-66,-58,1
-64,-70,-68,-65,-70,1
-64,-58,-70,-77,-58,1
-69,-60,-70,-80,-60,1
-64,-66,-68,-68,-66,1
-64,-60,-61,-62,-60,1
-65,-65,-69,-68,-65,1
